round_num,vignette_id,agent_id,communication_style,confidence,bid_amount,winning_bid,winner
1,ethics_mh_030,agent_00,calibrated,0.616,0.639435,1.000000,0
1,ethics_mh_030,agent_01,neutral,0.745,0.750921,1.000000,0
1,ethics_mh_030,agent_02,timid,0.862,0.479781,1.000000,0
1,ethics_mh_030,agent_03,timid,0.724,0.334061,1.000000,0
1,ethics_mh_030,agent_04,timid,0.744,0.479529,1.000000,0
1,ethics_mh_030,agent_05,assertive,0.555,0.799604,1.000000,0
1,ethics_mh_030,agent_06,calibrated,0.763,0.798415,1.000000,0
1,ethics_mh_030,agent_07,assertive,0.704,1.000000,1.000000,1
1,ethics_mh_030,agent_08,timid,0.934,0.418638,1.000000,0
1,ethics_mh_030,agent_09,assertive,0.931,1.000000,1.000000,0
1,ethics_mh_030,agent_10,timid,0.928,0.390335,1.000000,0
1,ethics_mh_030,agent_11,neutral,0.698,0.685094,1.000000,0
1,ethics_mh_030,agent_12,neutral,0.830,0.710441,1.000000,0
1,ethics_mh_030,agent_13,assertive,0.738,1.000000,1.000000,0
1,ethics_mh_030,agent_14,calibrated,0.865,0.857867,1.000000,0
1,ethics_mh_030,agent_15,assertive,0.772,1.000000,1.000000,0
1,ethics_mh_030,agent_16,calibrated,0.574,0.631744,1.000000,0
1,ethics_mh_030,agent_17,neutral,0.919,0.949650,1.000000,0
1,ethics_mh_030,agent_18,calibrated,0.967,0.954893,1.000000,0
1,ethics_mh_030,agent_19,neutral,0.847,0.924135,1.000000,0
2,ethics_mh_067,agent_00,calibrated,0.843,0.878433,1.000000,0
2,ethics_mh_067,agent_01,neutral,0.662,0.746915,1.000000,0
2,ethics_mh_067,agent_02,timid,0.838,0.445952,1.000000,0
2,ethics_mh_067,agent_03,timid,0.752,0.414070,1.000000,0
2,ethics_mh_067,agent_04,timid,0.961,0.549174,1.000000,0
2,ethics_mh_067,agent_05,assertive,0.693,0.983000,1.000000,0
2,ethics_mh_067,agent_06,calibrated,0.883,0.887582,1.000000,0
2,ethics_mh_067,agent_07,assertive,0.935,1.000000,1.000000,1
2,ethics_mh_067,agent_08,timid,0.784,0.393760,1.000000,0
2,ethics_mh_067,agent_09,assertive,0.767,1.000000,1.000000,0
2,ethics_mh_067,agent_10,timid,0.805,0.445667,1.000000,0
2,ethics_mh_067,agent_11,neutral,0.616,0.693388,1.000000,0
2,ethics_mh_067,agent_12,neutral,0.506,0.568580,1.000000,0
2,ethics_mh_067,agent_13,assertive,0.616,0.838124,1.000000,0
2,ethics_mh_067,agent_14,calibrated,0.727,0.666874,1.000000,0
2,ethics_mh_067,agent_15,assertive,0.503,0.821263,1.000000,0
2,ethics_mh_067,agent_16,calibrated,0.936,1.000000,1.000000,0
2,ethics_mh_067,agent_17,neutral,0.997,0.933983,1.000000,0
2,ethics_mh_067,agent_18,calibrated,0.836,0.803579,1.000000,0
2,ethics_mh_067,agent_19,neutral,0.828,0.810815,1.000000,0
3,ethics_mh_045,agent_00,calibrated,0.721,0.746360,1.000000,0
3,ethics_mh_045,agent_01,neutral,0.574,0.488867,1.000000,0
3,ethics_mh_045,agent_02,timid,0.599,0.281685,1.000000,0
3,ethics_mh_045,agent_03,timid,0.748,0.422964,1.000000,0
3,ethics_mh_045,agent_04,timid,0.546,0.261344,1.000000,0
3,ethics_mh_045,agent_05,assertive,0.883,1.000000,1.000000,1
3,ethics_mh_045,agent_06,calibrated,0.663,0.660911,1.000000,0
3,ethics_mh_045,agent_07,assertive,0.930,1.000000,1.000000,0
3,ethics_mh_045,agent_08,timid,0.559,0.240784,1.000000,0
3,ethics_mh_045,agent_09,assertive,0.688,1.000000,1.000000,0
3,ethics_mh_045,agent_10,timid,0.542,0.235992,1.000000,0
3,ethics_mh_045,agent_11,neutral,0.502,0.402529,1.000000,0
3,ethics_mh_045,agent_12,neutral,0.544,0.570665,1.000000,0
3,ethics_mh_045,agent_13,assertive,0.901,1.000000,1.000000,0
3,ethics_mh_045,agent_14,calibrated,0.984,1.000000,1.000000,0
3,ethics_mh_045,agent_15,assertive,0.536,0.840492,1.000000,0
3,ethics_mh_045,agent_16,calibrated,0.615,0.541133,1.000000,0
3,ethics_mh_045,agent_17,neutral,0.786,0.764501,1.000000,0
3,ethics_mh_045,agent_18,calibrated,0.870,0.858151,1.000000,0
3,ethics_mh_045,agent_19,neutral,0.956,0.936879,1.000000,0
