round_num,vignette_id,agent_id,communication_style,assessment_choice,assessment_confidence,bid_amount,was_proposer,proposal_cost,intervention_cost,final_vote,agent_reward,agent_total_cost,budget_remaining
1,ethics_mh_107,agent_00,neutral,Option A,0.572,0.647061,0,0.000000,0.003340,No consensus,0.496660,0.003340,0.996660
1,ethics_mh_107,agent_01,assertive,Option A,0.717,1.000000,1,1.007958,0.000000,No consensus,-0.507958,1.007958,0.992042
1,ethics_mh_107,agent_02,timid,Option A,0.526,0.278235,0,0.000000,0.002291,No consensus,0.497709,0.002291,0.997709
1,ethics_mh_107,agent_03,calibrated,Option A,0.518,0.537490,0,0.000000,0.004617,No consensus,0.495383,0.004617,0.995383
1,ethics_mh_107,agent_04,calibrated,Option A,0.565,0.624995,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_05,calibrated,Option A,0.957,1.000000,0,0.000000,0.004827,No consensus,0.495173,0.004827,0.995173
1,ethics_mh_107,agent_06,neutral,Option A,0.621,0.618319,0,0.000000,0.004298,No consensus,0.495702,0.004298,0.995702
1,ethics_mh_107,agent_07,assertive,Option A,0.931,1.000000,0,0.000000,0.004082,No consensus,0.495918,0.004082,0.995918
1,ethics_mh_107,agent_08,neutral,Option A,0.551,0.512053,0,0.000000,0.003504,No consensus,0.496496,0.003504,0.996496
1,ethics_mh_107,agent_09,timid,Option A,0.552,0.286683,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_10,timid,Option A,0.636,0.340021,0,0.000000,0.004717,No consensus,0.495283,0.004717,0.995283
1,ethics_mh_107,agent_11,assertive,Option A,0.736,1.000000,0,0.000000,0.002785,No consensus,0.497215,0.002785,0.997215
1,ethics_mh_107,agent_12,timid,Option A,0.635,0.271766,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_13,timid,Option A,0.835,0.310484,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_14,assertive,Option A,0.951,1.000000,0,0.000000,0.001264,No consensus,0.498736,0.001264,0.998736
1,ethics_mh_107,agent_15,calibrated,Option A,0.737,0.638858,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_16,assertive,Option A,0.629,0.979150,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_17,neutral,Option A,0.560,0.553794,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
1,ethics_mh_107,agent_18,neutral,Option A,0.979,0.943191,0,0.000000,0.004160,No consensus,0.495840,0.004160,0.995840
1,ethics_mh_107,agent_19,calibrated,Option A,0.996,0.999056,0,0.000000,0.003341,No consensus,0.496659,0.003341,0.996659
2,ethics_mh_123,agent_00,neutral,Option A,0.518,0.636863,0,0.000000,0.003131,No consensus,0.496869,0.003131,0.996869
2,ethics_mh_123,agent_01,assertive,Option A,0.657,1.000000,1,1.009758,0.000000,No consensus,-0.509758,1.009758,0.990242
2,ethics_mh_123,agent_02,timid,Option A,0.558,0.320377,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_03,calibrated,Option A,0.557,0.518779,0,0.000000,0.001575,No consensus,0.498425,0.001575,0.998425
2,ethics_mh_123,agent_04,calibrated,Option A,0.840,0.928224,0,0.000000,0.003054,No consensus,0.496946,0.003054,0.996946
2,ethics_mh_123,agent_05,calibrated,Option A,0.973,0.881166,0,0.000000,0.002632,No consensus,0.497368,0.002632,0.997368
2,ethics_mh_123,agent_06,neutral,Option A,0.724,0.617265,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_07,assertive,Option A,0.873,1.000000,0,0.000000,0.004681,No consensus,0.495319,0.004681,0.995319
2,ethics_mh_123,agent_08,neutral,Option A,0.669,0.657869,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_09,timid,Option A,0.888,0.362665,0,0.000000,0.003646,No consensus,0.496354,0.003646,0.996354
2,ethics_mh_123,agent_10,timid,Option A,0.604,0.357532,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_11,assertive,Option A,0.831,1.000000,0,0.000000,0.003948,No consensus,0.496052,0.003948,0.996052
2,ethics_mh_123,agent_12,timid,Option A,0.973,0.447286,0,0.000000,0.002091,No consensus,0.497909,0.002091,0.997909
2,ethics_mh_123,agent_13,timid,Option A,0.770,0.399149,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_14,assertive,Option A,0.981,1.000000,0,0.000000,0.001655,No consensus,0.498345,0.001655,0.998345
2,ethics_mh_123,agent_15,calibrated,Option A,0.566,0.551656,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_16,assertive,Option A,0.603,0.892287,0,0.000000,0.002260,No consensus,0.497740,0.002260,0.997740
2,ethics_mh_123,agent_17,neutral,Option A,0.622,0.618942,0,0.000000,0.001697,No consensus,0.498303,0.001697,0.998303
2,ethics_mh_123,agent_18,neutral,Option A,0.703,0.748644,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
2,ethics_mh_123,agent_19,calibrated,Option A,0.808,0.878851,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_00,neutral,Option A,0.613,0.554155,0,0.000000,0.002169,No consensus,0.497831,0.002169,0.997831
3,ethics_mh_086,agent_01,assertive,Option A,0.614,0.919527,0,0.000000,0.001267,No consensus,0.498733,0.001267,0.998733
3,ethics_mh_086,agent_02,timid,Option A,0.910,0.440767,0,0.000000,0.004731,No consensus,0.495269,0.004731,0.995269
3,ethics_mh_086,agent_03,calibrated,Option A,0.902,0.864719,0,0.000000,0.001886,No consensus,0.498114,0.001886,0.998114
3,ethics_mh_086,agent_04,calibrated,Option A,0.562,0.554786,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_05,calibrated,Option A,0.934,0.975223,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_06,neutral,Option A,0.907,0.994733,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_07,assertive,Option A,0.861,1.000000,1,1.009916,0.000000,No consensus,-0.509916,1.009916,0.990084
3,ethics_mh_086,agent_08,neutral,Option A,0.857,0.793177,0,0.000000,0.001068,No consensus,0.498932,0.001068,0.998932
3,ethics_mh_086,agent_09,timid,Option A,0.688,0.420197,0,0.000000,0.003202,No consensus,0.496798,0.003202,0.996798
3,ethics_mh_086,agent_10,timid,Option A,0.560,0.138701,0,0.000000,0.002175,No consensus,0.497825,0.002175,0.997825
3,ethics_mh_086,agent_11,assertive,Option A,0.746,1.000000,0,0.000000,0.003079,No consensus,0.496921,0.003079,0.996921
3,ethics_mh_086,agent_12,timid,Option A,0.834,0.419140,0,0.000000,0.002051,No consensus,0.497949,0.002051,0.997949
3,ethics_mh_086,agent_13,timid,Option A,0.912,0.490867,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_14,assertive,Option A,0.675,1.000000,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_15,calibrated,Option A,0.953,0.900883,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_16,assertive,Option A,0.679,1.000000,0,0.000000,0.003295,No consensus,0.496705,0.003295,0.996705
3,ethics_mh_086,agent_17,neutral,Option A,0.583,0.471348,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_18,neutral,Option A,0.642,0.594610,0,0.000000,0.000000,No consensus,0.500000,0.000000,1.000000
3,ethics_mh_086,agent_19,calibrated,Option A,0.721,0.742752,0,0.000000,0.003437,No consensus,0.496563,0.003437,0.996563
